name,is a news presenter?,total screen time (in minutes)
mark rathbun,,"1,337"
andrew gillum,,"1,335"
janet napolitano,,"1,335"
debbie stabenow,,"1,330"
john delaney,,"1,325"
david weigel,,"1,324"
attilio tesser,,"1,323"
dann huff,,"1,319"
michael baden,FOXNEWS,"1,319"
theresa may,,"1,319"
john fund,FOXNEWS,"1,313"
jacqueline bracamontes,,"1,311"
brian sullivan,MSNBC,"1,310"
roy moore,,"1,305"
hassan rouhani,,"1,304"
george pataki,,"1,298"
pope francis,,"1,287"
jes macallan,,"1,286"
omarosa manigault,,"1,285"
grzegorz braun,,"1,283"
kevin chamberlin,,"1,281"
agnes baltsa,,"1,278"
arne duncan,,"1,276"
tarique rahman,,"1,273"
paula newton,CNN,"1,268"
valerie jarrett,,"1,268"
boris johnson,,"1,267"
bernard kerik,,"1,265"
norah odonnell,,"1,262"
bo dietl,,"1,261"
burghart klaussner,,"1,261"
peggy noonan,,"1,258"
brad wall,,"1,257"
zane,,"1,257"
bill nelson,,"1,254"
jean-paul salomé,,"1,252"
jose baez,,"1,250"
jon cryer,,"1,249"
ralph northam,,"1,248"
angela merkel,,"1,247"
gavin newsom,,"1,244"
kathleen aerts,,"1,242"
morgan spurlock,CNN,"1,241"
michael c burgess,,"1,240"
theresa caputo,,"1,240"
valérie lemercier,,"1,240"
jack reed,,"1,235"
cathy mcmorris rodgers,,"1,232"
nomiki konst,,"1,232"
jay inslee,,"1,230"
cecile richards,,"1,224"
mark kelly,,"1,219"
cornel west,,"1,217"
peter hamby,,"1,216"
mitch landrieu,,"1,215"
marians pahars,,"1,213"
josh mankiewicz,MSNBC,"1,211"
benjamin e sasse,,"1,208"
bill gates,,"1,208"
betsy devos,,"1,207"
mary bono,,"1,205"
kris kobach,,"1,200"
bob rae,,"1,199"
joy bryant,,"1,197"
charlie crist,,"1,196"
arthur laffer,,"1,194"
ian bremmer,,"1,193"
john zarrella,,"1,192"
jon kyl,,"1,192"
norman lamb,,"1,192"
ivan vladislavic,,"1,191"
william cohen,,"1,190"
jill biden,,"1,187"
tomi lahren,FOXNEWS,"1,187"
andrew card,,"1,181"
mela lee,,"1,181"
christophe hondelatte,,"1,178"
jerome corsi,,"1,178"
joe sestak,,"1,178"
