contributor.cfscore,cycle,district,dwnom1,icpsr,dime_name,party,recipient.cfscore,seat,state,congress,chamber,vv_name,nominate_dim1,nominate_log_likelihood,nominate_geo_mean_probability,nokken_poole_dim1,sctv_name,minutes
-0.8859999999999999,2014.0,VAS14,-0.209,40909,"warner, mark r",,-0.792,federal:senate,VA,116.0,Senate,"WARNER, Mark",-0.201,-61.98545,0.8878299999999999,-0.22399999999999998,mark warner,"3,163"
0.24100000000000002,2014.0,NHS14,0.12300000000000001,40913,"brown, scott",,0.841,federal:senate,NH,112.0,Senate,"BROWN, Scott P.",0.128,-118.93215,0.747,0.083,scott brown,"3,103"
-0.769,2014.0,DES14,-0.284,40916,"coons, christopher a",,-1.099,federal:senate,DE,116.0,Senate,"COONS, Christopher A.",-0.226,-63.12775,0.8865,-0.19699999999999998,chris coons,"5,437"
-0.669,2014.0,NJS14,-0.313,41308,"booker, cory a",,-0.9259999999999999,federal:senate,NJ,116.0,Senate,"BOOKER, Cory Anthony",-0.61,-32.22121,0.89056,-0.603,cory booker,"7,818"
1.1640000000000001,2014.0,GAS14,0.27899999999999997,41501,"perdue, david",,1.181,federal:senate,GA,116.0,Senate,"PERDUE, David Alfred, Jr.",0.565,-35.86002,0.9305200000000001,0.474,david perdue,613
1.089,2014.0,IAS14,0.273,41502,"ernst, joni k",,1.199,federal:senate,IA,116.0,Senate,"ERNST, Joni",0.529,-52.1014,0.90671,0.552,joni ernst,"1,433"
0.23399999999999999,2014.0,NES14,0.27699999999999997,41503,"sasse, benjamin e",,1.204,federal:senate,NE,116.0,Senate,"SASSE, Benjamin Eric",0.794,-32.863690000000005,0.93853,0.728,benjamin e sasse,"1,208"
0.919,2014.0,NCS14,0.214,41504,"tillis, thom r",,1.021,federal:senate,NC,116.0,Senate,"TILLIS, Thomas Roland (Thom)",0.429,-32.1495,0.93914,0.43700000000000006,thom tillis,"1,107"
,2014.0,SDS14,0.18899999999999997,41505,"rounds, marion michael",,1.188,federal:senate,SD,116.0,Senate,"ROUNDS, Marion Michael (Mike)",0.40399999999999997,-33.828179999999996,0.9315399999999999,0.428,mike rounds,883
1.246,2014.0,,0.35700000000000004,49306,"hutchison, kay bailey",,1.048,state:governor,TX,112.0,Senate,"HUTCHISON, Kathryn Ann Bailey (Kay)",0.35600000000000004,-104.24529,0.762,0.353,kay bailey hutchison,908
0.004,2014.0,MES14,0.09300000000000001,49703,"collins, susan m",,0.451,federal:senate,ME,116.0,Senate,"COLLINS, Susan Margaret",0.11199999999999999,-47.48258,0.91553,0.128,susan collins,"3,267"
-0.741,2014.0,PRES,-0.442,99909,"clinton, william jefferson",,-0.815,federal:president,00,106.0,President,"CLINTON, William Jefferson (Bill)",-0.43799999999999994,-44.00832,0.743,,bill clinton,"13,833"
-1.218,2014.0,PRES,-0.34700000000000003,99911,"obama, barack",,-1.517,federal:president,00,113.0,President,"OBAMA, Barack",-0.354,-41.04464,0.882,-0.35700000000000004,barack obama,"128,166"
-1.014,2014.0,,,CA142074,"newsom, gavin",D,-1.0270000000000001,state:office,CA,,,,,,,,gavin newsom,"1,244"
-0.509,2014.0,DC01,,H0DC00058,"norton, eleanor holmes",,-0.772,federal:house,DC,,,,,,,,eleanor holmes norton,"1,047"
0.745,2014.0,SC01,,H2SC00020,"bauer, andre",,0.8370000000000001,federal:house,SC,,,,,,,,andré bauer,"1,172"
,2014.0,CA33,,H4CA33085,"williamson, marianne",,-1.555,federal:house,CA,,,,,,,,marianne williamson,613
1.4780000000000002,2014.0,,,H4TX10127,"patrick, dan",,1.252,state:office,TX,,,,,,,,dan patrick,"1,058"
,2014.0,TX32,,H4TX32022,"pierson, katrina lanette",,1.518,federal:house,TX,,,,,,,,katrina pierson,"3,160"
0.445,2014.0,PRES,,P00003251,"giuliani, rudolph w",,0.504,federal:president,00,,,,,,,,rudy giuliani,"11,462"
1.054,2014.0,PRES,,P00003608,"cain, herman",,1.354,federal:president,00,,,,,,,,herman cain,"7,547"
1.281,2014.0,,,P20003281,"perry, rick",,1.169,state:governor,TX,,,,,,,,rick perry,"4,539"
-1.996,2014.0,PRES,,P20003984,"stein, jill",,-1.8940000000000001,federal:president,00,,,,,,,,jill stein,672
